"Field","Original","Count","Suggested","Action","Confidence","Notes"
"Discipline","Irrigation","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Process engineer","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","information technology","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Infra structure","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Traffic engineer","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Maintenance planner","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","utilities","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","اخصائي شؤون الموظفين","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","Computer science","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Handover","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","هندسة زراعية","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","اعمال السلامة الانذار والاطفاء","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Infrastructural engineering","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Interior and furniture design","1","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","مدنى / سيفتى","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Wet Utilities Engineer","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","marine construction works","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Pluming","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Water treatment","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Autocad Drawer","1","Drafting / CAD","UPDATE","medium","CAD/drafting role"
"Discipline","Civil Execution Engineer","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Furniture production","1","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","Land Scap","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Tender","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","agricultural","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","مساحه","1","Surveying","UPDATE","high","surveying value"
"Discipline","QS","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","Chemical engineer (Operation)","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Metallurgy","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","Civil Defense Consultant","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Automation","1","Automation","KEEP_REVIEW","low","needs manual review"
"Discipline","الزراعة","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Project management","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","محاسب","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","شبكات","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Smart home","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Hvac bim","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Production operator Production operator","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","كيمياء","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","لاندسكيب","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Infrastructure","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Biomedical Engineering","1","Biomedical Engineering","UPDATE","high","biomedical value"
"Discipline","تعدين وفلزات","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","HVAC ENGINEER","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Operation and maintenance","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","المحاسبه","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","Health and safety","1","HSE","UPDATE","high","safety/HSE value"
"Discipline","Q. C","1","Q. C","KEEP_REVIEW","low","needs manual review"
"Discipline","Chemistry","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Mechanical Infrastructure","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Procurement","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","Metallurgical (quality)","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","Mechanical, BIM","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Sr.Dc","1","Sr.Dc","KEEP_REVIEW","low","needs manual review"
"Discipline","Business Development","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Infrastructure BIM","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Mechanical and electrical","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Cost control engineer","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","مساحة","1","Surveying","UPDATE","high","surveying value"
"Discipline","Kitchen and laundry installation Eng","1","Kitchen and laundry installation Eng","KEEP_REVIEW","low","needs manual review"
"Discipline","Production planning","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","زراعة","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","بنية تحتية","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Chemist","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Solar energy","1","Solar energy","KEEP_REVIEW","low","needs manual review"
"Discipline","مدني تنفيذي","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Survey","1","Surveying","UPDATE","high","surveying value"
"Discipline","Plumbing and fire protection","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Facility","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","Infrastructure and roads","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Draftsman mep & arch","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","FLS","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","لاندسكيب شبكات ري","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Alexandria","1","","REVIEW_INVALID_FIELD","high","looks like city, not discipline"
"Discipline","Facilities","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","Technical office","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","Biomedical","1","Biomedical Engineering","UPDATE","high","biomedical value"
