"Field","Original","Count","Suggested","Action","Confidence","Notes"
"Discipline","Land Scap","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Tender","1","Tender","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","agricultural","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","مساحه","1","Surveying","UPDATE","high","surveying value"
"Discipline","QS","1","QS","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Chemical engineer (Operation)","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Metallurgy","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","Civil Defense Consultant","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Automation","1","Automation","KEEP_REVIEW","low","needs manual review"
"Discipline","الزراعة","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Project management","1","Project management","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","محاسب","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","شبكات","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Smart home","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Hvac bim","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Production operator Production operator","1","Production operator Production operator","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","كيمياء","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","لاندسكيب","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Infrastructure","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Biomedical Engineering","1","Biomedical Engineering","UPDATE","high","biomedical value"
"Discipline","تعدين وفلزات","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","HVAC ENGINEER","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Operation and maintenance","1","Operation and maintenance","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","المحاسبه","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","Health and safety","1","HSE","UPDATE","high","safety/HSE value"
"Discipline","Q. C","1","Q. C","KEEP_REVIEW","low","needs manual review"
"Discipline","Chemistry","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Mechanical Infrastructure","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Procurement","1","Procurement","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Metallurgical (quality)","1","Metallurgy","UPDATE","medium","metallurgy/mining value"
"Discipline","Mechanical, BIM","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Sr.Dc","1","Sr.Dc","KEEP_REVIEW","low","needs manual review"
"Discipline","Business Development","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Infrastructure BIM","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Mechanical and electrical","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Cost control engineer","1","Cost control engineer","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","مساحة","1","Surveying","UPDATE","high","surveying value"
"Discipline","Kitchen and laundry installation Eng","1","Kitchen and laundry installation Eng","KEEP_REVIEW","low","needs manual review"
"Discipline","Production planning","1","Production planning","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","زراعة","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","بنية تحتية","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Chemist","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Solar energy","1","Solar energy","KEEP_REVIEW","low","needs manual review"
"Discipline","مدني تنفيذي","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Survey","1","Surveying","UPDATE","high","surveying value"
"Discipline","Plumbing and fire protection","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Facility","1","Facility","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Infrastructure and roads","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Draftsman mep & arch","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","FLS","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","لاندسكيب شبكات ري","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Alexandria","1","","REVIEW_INVALID_FIELD","high","looks like city, not discipline"
"Discipline","Facilities","1","Facilities","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Technical office","1","Technical office","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Biomedical","1","Biomedical Engineering","UPDATE","high","biomedical value"
